wavelength,counts
188.65,309.40
189.10,309.40
189.56,309.40
190.01,309.40
190.47,309.40
190.92,339.53
191.37,352.03
191.83,366.18
192.28,381.73
192.74,398.36
193.19,415.69
193.64,433.29
194.10,451.48
194.55,470.07
195.01,488.86
195.46,507.68
195.91,526.34
196.37,544.68
196.82,562.55
197.27,579.83
197.73,596.41
198.18,612.25
198.63,627.31
199.09,641.59
199.54,655.08
199.99,667.81
200.45,679.76
200.90,690.95
201.35,701.34
201.81,710.91
202.26,719.60
202.71,727.38
203.17,734.19
203.62,740.02
204.07,744.87
204.53,748.73
204.98,751.67
205.43,753.75
205.89,755.04
206.34,755.66
206.79,755.72
207.25,755.33
207.70,754.60
208.15,753.65
208.60,752.58
209.06,751.47
209.51,750.37
209.96,749.32
210.41,748.34
210.87,747.39
211.32,746.45
211.77,745.47
212.23,744.39
212.68,743.15
213.13,741.73
213.58,740.10
214.04,738.27
214.49,736.28
214.94,734.17
215.39,732.01
215.84,729.88
216.30,727.84
216.75,725.95
217.20,724.23
217.65,722.69
218.11,721.33
218.56,720.11
219.01,718.99
219.46,717.93
219.91,716.90
220.37,715.91
220.82,714.95
221.27,714.08
221.72,713.35
222.17,712.84
222.63,712.61
223.08,712.73
223.53,713.23
223.98,714.12
224.43,715.38
224.88,716.93
225.34,718.70
225.79,720.60
226.24,722.52
226.69,724.38
227.14,726.15
227.59,727.78
228.04,729.28
228.50,730.66
228.95,731.94
229.40,733.15
229.85,734.30
230.30,735.37
230.75,736.37
231.20,737.27
231.66,738.07
232.11,738.78
232.56,739.42
233.01,740.03
233.46,740.68
233.91,741.44
234.36,742.36
234.81,743.48
235.26,744.83
235.71,746.38
236.17,748.09
236.62,749.88
237.07,751.65
237.52,753.29
237.97,754.72
238.42,755.84
238.87,756.60
239.32,756.98
239.77,757.00
240.22,756.69
240.67,756.12
241.12,755.37
241.57,754.53
242.02,753.65
242.47,752.81
242.92,752.04
243.37,751.35
243.82,750.73
244.27,750.18
244.72,749.65
245.18,749.11
245.63,748.53
246.08,747.88
246.53,747.12
246.98,746.25
247.43,745.26
247.88,744.16
248.33,742.97
248.78,741.74
249.23,740.51
249.68,739.36
250.12,738.35
250.57,737.55
251.02,737.00
251.47,736.76
251.92,736.85
252.37,737.26
252.82,737.99
253.27,739.02
253.72,740.29
254.17,741.78
254.62,743.43
255.07,745.20
255.52,747.04
255.97,748.90
256.42,750.74
256.87,752.49
257.32,754.12
257.77,755.58
258.22,756.84
258.66,757.90
259.11,758.75
259.56,759.40
260.01,759.86
260.46,760.16
260.91,760.29
261.36,760.27
261.81,760.06
262.26,759.65
262.71,759.00
263.15,758.07
263.60,756.85
264.05,755.34
264.50,753.55
264.95,751.55
265.40,749.42
265.85,747.25
266.30,745.15
266.74,743.25
267.19,741.63
267.64,740.37
268.09,739.54
268.54,739.13
268.99,739.15
269.43,739.54
269.88,740.23
270.33,741.15
270.78,742.20
271.23,743.26
