wavelength,counts
188.65,291.53
189.10,291.53
189.56,291.53
190.01,291.53
190.47,291.53
190.92,323.72
191.37,337.03
191.83,352.05
192.28,368.50
192.74,386.00
193.19,404.14
193.64,422.44
194.10,441.24
194.55,460.38
195.01,479.71
195.46,499.11
195.91,518.49
196.37,537.79
196.82,556.93
197.27,575.84
197.73,594.45
198.18,612.67
198.63,630.36
199.09,647.36
199.54,663.50
199.99,678.58
200.45,692.43
200.90,704.90
201.35,715.87
201.81,725.33
202.26,733.28
202.71,739.84
203.17,745.15
203.62,749.42
204.07,752.86
204.53,755.70
204.98,758.12
205.43,760.27
205.89,762.27
206.34,764.15
206.79,765.92
207.25,767.56
207.70,769.01
208.15,770.22
208.60,771.14
209.06,771.72
209.51,771.97
209.96,771.87
210.41,771.44
210.87,770.70
211.32,769.70
211.77,768.44
212.23,766.99
212.68,765.38
213.13,763.67
213.58,761.95
214.04,760.28
214.49,758.77
214.94,757.50
215.39,756.54
215.84,755.95
216.30,755.73
216.75,755.85
217.20,756.23
217.65,756.76
218.11,757.29
218.56,757.69
219.01,757.83
219.46,757.61
219.91,756.96
220.37,755.88
220.82,754.40
221.27,752.59
221.72,750.55
222.17,748.41
222.63,746.29
223.08,744.29
223.53,742.52
223.98,741.02
224.43,739.83
224.88,738.94
225.34,738.33
225.79,737.96
226.24,737.78
226.69,737.75
227.14,737.85
227.59,738.08
228.04,738.44
228.50,738.97
228.95,739.71
229.40,740.69
229.85,741.93
230.30,743.44
230.75,745.22
231.20,747.22
231.66,749.38
232.11,751.65
232.56,753.93
233.01,756.17
233.46,758.29
233.91,760.24
234.36,761.98
234.81,763.50
235.26,764.80
235.71,765.90
236.17,766.81
236.62,767.57
237.07,768.21
237.52,768.74
237.97,769.17
238.42,769.48
238.87,769.65
239.32,769.63
239.77,769.39
240.22,768.85
240.67,767.99
241.12,766.77
241.57,765.20
242.02,763.29
242.47,761.09
242.92,758.69
243.37,756.19
243.82,753.70
244.27,751.34
244.72,749.24
245.18,747.49
245.63,746.18
246.08,745.37
246.53,745.08
246.98,745.32
247.43,746.07
247.88,747.27
248.33,748.89
248.78,750.87
249.23,753.14
249.68,755.66
250.12,758.37
250.57,761.21
251.02,764.13
251.47,767.04
251.92,769.87
252.37,772.52
252.82,774.90
253.27,776.92
253.72,778.51
254.17,779.63
254.62,780.27
255.07,780.47
255.52,780.32
255.97,779.93
256.42,779.42
256.87,778.92
257.32,778.54
257.77,778.35
258.22,778.34
258.66,778.50
259.11,778.73
259.56,778.93
260.01,778.96
260.46,778.72
260.91,778.14
261.36,777.17
261.81,775.86
262.26,774.27
262.71,772.52
263.15,770.75
263.60,769.08
264.05,767.64
264.50,766.49
264.95,765.66
265.40,765.15
265.85,764.91
266.30,764.87
266.74,764.96
267.19,765.11
267.64,765.29
268.09,765.47
268.54,765.68
268.99,765.93
269.43,766.28
269.88,766.75
270.33,767.37
270.78,768.15
271.23,769.05
271.68,770.02
272.12,771.01
272.57,771.92
273.02,772.69
273.47,773.25
273.92,773.55
274.36,773.57
274.81,773.32
275.26,772.81
275.71,772.09
276.16,771.20
276.60,770.22
277.05,769.17
277.50,768.12
277.95,767.08
278.39,766.08
278.84,765.12
279.29,764.18
279.74,763.26
280.19,762.33
280.63,761.39
281.08,760.45
281.53,759.52
281.98,758.65
282.42,757.87
282.87,757.23
283.32,756.76
283.76,756.48
284.21,756.38
284.66,756.42
285.11,756.56
285.55,756.73
286.00,756.88
286.45,756.94
286.89,756.89
287.34,756.73
287.79,756.46
288.23,756.13
288.68,755.77
289.13,755.44
289.58,755.15
290.02,754.94
290.47,754.79
290.92,754.70
291.36,754.66
291.81,754.68
292.26,754.77
292.70,754.95
293.15,755.29
293.60,755.83
294.04,756.63
294.49,757.70
294.93,759.05
295.38,760.65
295.83,762.42
296.27,764.27
296.72,766.10
297.17,767.79
297.61,769.26
298.06,770.45
298.50,771.34
298.95,771.92
299.40,772.23
299.84,772.31
300.29,772.22
300.73,772.00
301.18,771.68
301.63,771.30
302.07,770.85
302.52,770.37
302.96,769.87
303.41,769.38
303.85,768.94
304.30,768.61
304.75,768.43
305.19,768.45
305.64,768.68
306.08,769.12
306.53,769.74
306.97,770.47
307.42,771.24
307.86,771.94
308.31,772.48
308.75,772.79
309.20,772.80
309.65,772.51
310.09,771.93
310.54,771.10
310.98,770.13
311.43,769.12
311.87,768.20
312.32,767.50
312.76,767.14
313.21,767.22
313.65,767.80
314.10,768.88
314.54,770.43
314.99,772.37
315.43,774.60
315.87,776.96
316.32,779.34
316.76,781.59
317.21,783.63
317.65,785.39
318.10,786.84
318.54,787.98
318.99,788.84
319.43,789.42
319.88,789.74
320.32,789.80
320.76,789.56
321.21,789.00
321.65,788.08
322.10,786.77
322.54,785.09
322.99,783.06
323.43,780.76
323.87,778.31
324.32,775.84
324.76,773.50
325.21,771.42
325.65,769.74
326.09,768.54
326.54,767.87
326.98,767.74
327.42,768.12
327.87,768.96
328.31,770.17
328.76,771.66
329.20,773.35
329.64,775.15
330.09,776.99
330.53,778.81
330.97,780.56
331.42,782.20
331.86,783.68
332.30,784.96
332.75,785.98
333.19,786.70
333.63,787.07
334.08,787.07
334.52,786.67
334.96,785.90
335.41,784.78
335.85,783.38
336.29,781.79
336.74,780.14
337.18,778.55
337.62,777.14
338.06,776.04
338.51,775.33
338.95,775.09
339.39,775.34
339.84,776.05
340.28,777.17
340.72,778.59
341.16,780.21
341.61,781.87
342.05,783.46
342.49,784.87
342.93,786.04
343.38,786.96
343.82,787.65
344.26,788.17
344.70,788.61
345.15,789.03
345.59,789.50
346.03,790.03
346.47,790.59
346.92,791.13
347.36,791.54
347.80,791.72
348.24,791.58
348.68,791.08
349.13,790.20
349.57,788.98
350.01,787.53
350.45,785.98
350.89,784.48
351.34,783.19
351.78,782.24
352.22,781.74
352.66,781.73
353.10,782.22
353.54,783.15
353.99,784.43
354.43,785.92
354.87,787.50
355.31,788.99
355.75,790.28
356.19,791.25
356.63,791.81
357.08,791.92
357.52,791.56
357.96,790.76
358.40,789.59
358.84,788.12
359.28,786.48
359.72,784.76
360.16,783.09
360.60,781.58
361.05,780.31
361.49,779.33
361.93,778.64
362.37,778.21
362.81,778.00
363.25,777.90
363.69,777.82
364.13,777.68
364.57,777.42
365.01,777.02
365.45,776.50
365.89,775.92
366.33,775.38
366.78,775.00
367.22,774.90
367.66,775.15
368.10,775.84
368.54,776.97
368.98,778.52
369.42,780.39
369.86,782.47
370.30,784.59
370.74,786.61
371.18,788.37
371.62,789.72
372.06,790.58
372.50,790.87
372.94,790.57
373.38,789.72
373.82,788.36
374.26,786.58
374.70,784.49
375.14,782.19
375.58,779.79
376.02,777.40
376.46,775.11
376.90,773.03
377.34,771.24
377.78,769.80
378.21,768.79
378.65,768.27
379.09,768.26
379.53,768.80
379.97,769.87
380.41,771.47
380.85,773.51
381.29,775.90
381.73,778.52
382.17,781.20
382.61,783.78
383.05,786.07
383.49,787.93
383.93,789.20
384.36,789.81
384.80,789.73
385.24,788.97
385.68,787.63
386.12,785.82
386.56,783.70
387.00,781.43
387.44,779.16
387.87,777.03
388.31,775.12
388.75,773.51
389.19,772.22
389.63,771.25
390.07,770.59
390.51,770.23
390.94,770.15
391.38,770.34
391.82,770.82
392.26,771.58
392.70,772.64
393.14,774.00
393.57,775.62
394.01,777.48
394.45,779.50
394.89,781.63
395.33,783.77
395.76,785.84
396.20,787.76
396.64,789.48
397.08,790.94
397.52,792.11
397.95,792.98
398.39,793.54
398.83,793.80
399.27,793.78
399.70,793.50
400.14,793.01
400.58,792.32
401.02,791.51
401.45,790.60
401.89,789.67
402.33,788.77
402.77,787.94
403.20,787.25
403.64,786.74
404.08,786.45
404.52,786.43
404.95,786.72
405.39,787.35
405.83,788.34
406.26,789.68
406.70,791.35
407.14,793.28
407.58,795.39
408.01,797.57
408.45,799.69
408.89,801.63
409.32,803.29
409.76,804.62
410.20,805.62
410.63,806.31
411.07,806.81
411.51,807.24
411.94,807.75
412.38,808.50
412.82,809.60
413.25,811.15
413.69,813.20
414.12,815.75
414.56,818.74
415.00,822.11
415.43,825.76
415.87,829.58
416.31,833.48
416.74,837.39
417.18,841.25
417.61,845.05
418.05,848.81
418.49,852.57
418.92,856.42
419.36,860.45
419.79,864.76
420.23,869.48
420.67,874.71
421.10,880.53
421.54,887.03
421.97,894.26
422.41,902.23
422.84,910.96
423.28,920.42
423.71,930.58
424.15,941.39
424.59,952.79
425.02,964.74
425.46,977.17
425.89,990.07
426.33,1003.40
426.76,1017.17
427.20,1031.40
427.63,1046.16
428.07,1061.52
428.50,1077.62
428.94,1094.59
429.37,1112.61
429.81,1131.89
430.24,1152.62
430.68,1175.02
