wavelength,counts
188.65,259.50
189.10,259.50
189.56,259.50
190.01,259.50
190.47,259.50
190.92,285.59
191.37,296.66
191.83,309.35
192.28,323.52
192.74,338.93
193.19,355.30
193.64,372.28
194.10,390.13
194.55,408.69
195.01,427.77
195.46,447.17
195.91,466.72
196.37,486.22
196.82,505.48
197.27,524.34
197.73,542.66
198.18,560.29
198.63,577.13
199.09,593.07
199.54,608.02
199.99,621.92
200.45,634.70
200.90,646.34
201.35,656.83
201.81,666.19
202.26,674.46
202.71,681.71
203.17,688.01
203.62,693.47
204.07,698.16
204.53,702.16
204.98,705.53
205.43,708.32
205.89,710.57
206.34,712.28
206.79,713.48
207.25,714.16
207.70,714.35
208.15,714.07
208.60,713.35
209.06,712.24
209.51,710.79
209.96,709.07
210.41,707.15
210.87,705.08
211.32,702.95
211.77,700.81
212.23,698.71
212.68,696.70
213.13,694.83
213.58,693.11
214.04,691.56
214.49,690.19
214.94,688.99
215.39,687.97
215.84,687.10
216.30,686.38
216.75,685.80
217.20,685.34
217.65,685.00
218.11,684.78
218.56,684.65
219.01,684.63
219.46,684.69
219.91,684.82
220.37,685.01
220.82,685.22
221.27,685.45
221.72,685.67
222.17,685.87
222.63,686.06
223.08,686.24
223.53,686.41
223.98,686.60
224.43,686.83
224.88,687.13
225.34,687.52
225.79,688.00
226.24,688.60
226.69,689.30
227.14,690.09
227.59,690.96
228.04,691.87
228.50,692.79
228.95,693.67
229.40,694.47
229.85,695.15
230.30,695.67
230.75,696.01
231.20,696.16
231.66,696.11
232.11,695.88
232.56,695.50
233.01,694.99
233.46,694.42
233.91,693.82
234.36,693.24
234.81,692.74
235.26,692.35
235.71,692.09
236.17,691.98
236.62,692.00
237.07,692.16
237.52,692.42
237.97,692.77
238.42,693.16
238.87,693.60
239.32,694.05
239.77,694.51
240.22,694.98
240.67,695.47
241.12,695.98
241.57,696.51
242.02,697.08
242.47,697.67
242.92,698.27
243.37,698.85
243.82,699.38
244.27,699.82
244.72,700.14
245.18,700.30
245.63,700.28
246.08,700.07
246.53,699.68
246.98,699.12
247.43,698.45
247.88,697.71
248.33,696.95
248.78,696.25
249.23,695.64
249.68,695.16
250.12,694.82
250.57,694.62
251.02,694.55
251.47,694.57
251.92,694.66
252.37,694.76
252.82,694.87
253.27,694.97
253.72,695.06
254.17,695.14
254.62,695.24
255.07,695.38
255.52,695.58
255.97,695.86
256.42,696.21
256.87,696.63
257.32,697.12
257.77,697.65
258.22,698.21
258.66,698.77
259.11,699.32
259.56,699.85
260.01,700.34
260.46,700.80
260.91,701.23
261.36,701.63
261.81,702.00
262.26,702.35
262.71,702.67
263.15,702.95
263.60,703.18
264.05,703.35
264.50,703.46
264.95,703.49
265.40,703.44
265.85,703.34
266.30,703.19
266.74,703.02
267.19,702.88
267.64,702.77
268.09,702.73
268.54,702.78
268.99,702.91
269.43,703.11
269.88,703.35
270.33,703.60
270.78,703.81
271.23,703.95
271.68,703.97
272.12,703.87
272.57,703.63
273.02,703.27
273.47,702.82
273.92,702.31
274.36,701.79
274.81,701.30
275.26,700.88
275.71,700.57
276.16,700.37
276.60,700.32
277.05,700.40
277.50,700.60
277.95,700.93
278.39,701.36
278.84,701.87
279.29,702.44
279.74,703.04
280.19,703.67
280.63,704.29
281.08,704.89
281.53,705.45
281.98,705.95
282.42,706.37
282.87,706.71
283.32,706.96
283.76,707.11
284.21,707.17
284.66,707.13
285.11,707.02
285.55,706.84
286.00,706.61
286.45,706.33
286.89,706.04
287.34,705.72
287.79,705.40
288.23,705.06
288.68,704.71
289.13,704.35
289.58,703.98
290.02,703.61
290.47,703.25
290.92,702.92
291.36,702.64
291.81,702.44
292.26,702.35
292.70,702.38
293.15,702.55
293.60,702.85
294.04,703.27
294.49,703.78
294.93,704.35
295.38,704.93
295.83,705.49
296.27,706.01
296.72,706.44
297.17,706.80
297.61,707.07
298.06,707.28
298.50,707.44
298.95,707.57
299.40,707.71
299.84,707.87
300.29,708.09
300.73,708.36
301.18,708.71
301.63,709.11
302.07,709.57
302.52,710.06
302.96,710.56
303.41,711.05
303.85,711.50
304.30,711.88
304.75,712.18
305.19,712.39
305.64,712.51
306.08,712.55
306.53,712.53
306.97,712.47
307.42,712.40
307.86,712.33
308.31,712.30
308.75,712.31
309.20,712.38
309.65,712.50
310.09,712.67
310.54,712.87
310.98,713.09
311.43,713.30
311.87,713.48
312.32,713.60
312.76,713.63
313.21,713.57
313.65,713.40
314.10,713.13
314.54,712.77
314.99,712.35
315.43,711.90
315.87,711.46
316.32,711.07
316.76,710.75
317.21,710.54
317.65,710.46
318.10,710.51
318.54,710.69
318.99,710.96
319.43,711.33
319.88,711.74
320.32,712.16
320.76,712.58
321.21,712.96
321.65,713.29
322.10,713.57
322.54,713.82
322.99,714.05
323.43,714.31
323.87,714.62
324.32,715.02
324.76,715.54
325.21,716.22
325.65,717.04
326.09,718.01
326.54,719.11
326.98,720.31
327.42,721.58
327.87,722.91
328.31,724.25
328.76,725.61
329.20,726.98
329.64,728.35
330.09,729.75
330.53,731.19
330.97,732.68
331.42,734.23
331.86,735.84
332.30,737.52
332.75,739.25
333.19,741.02
333.63,742.80
334.08,744.58
334.52,746.32
334.96,748.01
335.41,749.60
335.85,751.10
336.29,752.47
336.74,753.73
337.18,754.87
337.62,755.92
338.06,756.89
338.51,757.82
338.95,758.74
339.39,759.69
339.84,760.69
340.28,761.77
340.72,762.95
341.16,764.24
341.61,765.61
342.05,767.07
342.49,768.59
342.93,770.14
343.38,771.69
343.82,773.22
344.26,774.71
344.70,776.14
345.15,777.50
345.59,778.80
346.03,780.03
346.47,781.20
346.92,782.30
347.36,783.36
347.80,784.36
348.24,785.31
348.68,786.22
349.13,787.09
349.57,787.92
350.01,788.74
350.45,789.54
350.89,790.34
351.34,791.15
351.78,791.97
352.22,792.80
352.66,793.64
353.10,794.48
353.54,795.31
353.99,796.11
354.43,796.88
354.87,797.61
355.31,798.29
355.75,798.90
356.19,799.47
356.63,799.98
357.08,800.44
357.52,800.87
357.96,801.26
358.40,801.62
358.84,801.95
359.28,802.28
359.72,802.59
360.16,802.89
360.60,803.20
361.05,803.50
361.49,803.81
361.93,804.12
362.37,804.42
362.81,804.70
363.25,804.94
363.69,805.13
364.13,805.24
364.57,805.27
365.01,805.21
365.45,805.04
365.89,804.78
366.33,804.44
366.78,804.01
367.22,803.52
367.66,802.97
368.10,802.38
368.54,801.76
368.98,801.11
369.42,800.44
369.86,799.73
370.30,799.01
370.74,798.25
371.18,797.48
371.62,796.70
372.06,795.90
372.50,795.10
372.94,794.31
373.38,793.52
373.82,792.72
374.26,791.91
374.70,791.07
375.14,790.18
375.58,789.22
376.02,788.18
376.46,787.04
376.90,785.83
377.34,784.54
377.78,783.20
378.21,781.85
378.65,780.52
379.09,779.26
379.53,778.08
379.97,777.01
380.41,776.06
380.85,775.24
381.29,774.53
381.73,773.90
382.17,773.33
382.61,772.79
383.05,772.25
383.49,771.68
383.93,771.06
384.36,770.39
384.80,769.65
385.24,768.85
385.68,768.01
386.12,767.13
386.56,766.23
387.00,765.32
387.44,764.40
387.87,763.48
388.31,762.55
388.75,761.61
389.19,760.66
389.63,759.70
390.07,758.75
390.51,757.81
390.94,756.90
391.38,756.06
391.82,755.31
392.26,754.67
392.70,754.15
393.14,753.75
393.57,753.48
394.01,753.32
394.45,753.24
394.89,753.21
395.33,753.22
395.76,753.23
396.20,753.23
396.64,753.19
397.08,753.12
397.52,753.01
397.95,752.86
398.39,752.66
398.83,752.42
399.27,752.15
399.70,751.85
400.14,751.54
400.58,751.21
401.02,750.88
401.45,750.55
401.89,750.23
402.33,749.93
402.77,749.63
403.20,749.36
403.64,749.12
404.08,748.92
404.52,748.78
404.95,748.72
405.39,748.75
405.83,748.90
406.26,749.19
406.70,749.61
407.14,750.18
407.58,750.87
408.01,751.67
408.45,752.55
408.89,753.47
409.32,754.40
409.76,755.31
410.20,756.15
410.63,756.91
411.07,757.57
411.51,758.11
411.94,758.54
412.38,758.86
412.82,759.10
413.25,759.26
413.69,759.37
414.12,759.45
414.56,759.53
415.00,759.63
415.43,759.76
415.87,759.94
416.31,760.17
416.74,760.47
417.18,760.84
417.61,761.26
418.05,761.74
418.49,762.26
418.92,762.80
419.36,763.34
419.79,763.86
420.23,764.35
420.67,764.77
421.10,765.13
421.54,765.43
421.97,765.67
422.41,765.85
422.84,765.99
423.28,766.10
423.71,766.18
424.15,766.23
424.59,766.26
425.02,766.25
425.46,766.21
425.89,766.13
426.33,766.01
426.76,765.87
427.20,765.72
427.63,765.59
428.07,765.50
428.50,765.49
428.94,765.57
429.37,765.79
429.81,766.14
430.24,766.64
430.68,767.28
431.11,768.06
431.55,768.94
431.98,769.91
432.42,770.92
432.85,771.94
433.28,772.94
433.72,773.89
434.15,774.76
434.59,775.56
435.02,776.26
435.46,776.89
435.89,777.45
436.33,777.95
436.76,778.42
437.19,778.85
437.63,779.26
438.06,779.63
438.50,779.96
438.93,780.24
439.37,780.46
439.80,780.61
440.23,780.70
440.67,780.73
441.10,780.73
441.53,780.73
441.97,780.74
442.40,780.80
442.84,780.94
443.27,781.18
443.70,781.54
444.14,782.01
444.57,782.61
445.00,783.32
445.44,784.11
445.87,784.98
446.30,785.88
446.74,786.80
447.17,787.68
447.60,788.51
448.04,789.25
448.47,789.88
448.90,790.37
449.34,790.72
449.77,790.94
450.20,791.05
450.64,791.09
451.07,791.11
451.50,791.16
451.93,791.31
452.37,791.60
452.80,792.07
453.23,792.73
453.67,793.57
454.10,794.55
454.53,795.63
454.96,796.72
455.40,797.78
455.83,798.73
456.26,799.54
456.69,800.18
457.13,800.65
457.56,800.98
457.99,801.20
458.42,801.35
458.86,801.49
459.29,801.66
459.72,801.91
460.15,802.27
460.58,802.77
461.02,803.46
461.45,804.35
461.88,805.46
462.31,806.81
462.74,808.41
463.18,810.26
463.61,812.32
464.04,814.56
464.47,816.91
464.90,819.30
465.33,821.66
465.77,823.90
466.20,825.95
466.63,827.78
467.06,829.36
467.49,830.71
467.92,831.87
468.35,832.90
468.78,833.87
469.22,834.87
469.65,835.96
470.08,837.21
470.51,838.65
470.94,840.32
471.37,842.22
471.80,844.36
472.23,846.74
472.66,849.37
473.10,852.25
473.53,855.41
473.96,858.87
474.39,862.65
