wavelength,counts
188.65,256.48
189.10,256.48
189.56,256.48
190.01,256.48
190.47,256.48
190.92,286.85
191.37,299.50
191.83,313.85
192.28,329.67
192.74,346.68
193.19,364.53
193.64,382.85
194.10,402.04
194.55,422.02
195.01,442.74
195.46,464.14
195.91,486.19
196.37,508.82
196.82,531.97
197.27,555.50
197.73,579.25
198.18,603.02
198.63,626.55
199.09,649.55
199.54,671.71
199.99,692.75
200.45,712.40
200.90,730.44
201.35,746.73
201.81,761.20
202.26,773.85
202.71,784.76
203.17,794.03
203.62,801.82
204.07,808.27
204.53,813.54
204.98,817.77
205.43,821.06
205.89,823.51
206.34,825.18
206.79,826.15
207.25,826.47
207.70,826.20
208.15,825.42
208.60,824.21
209.06,822.66
209.51,820.85
209.96,818.88
210.41,816.84
210.87,814.80
211.32,812.82
211.77,810.94
212.23,809.18
212.68,807.57
213.13,806.11
213.58,804.80
214.04,803.61
214.49,802.54
214.94,801.57
215.39,800.68
215.84,799.85
216.30,799.08
216.75,798.35
217.20,797.66
217.65,797.03
218.11,796.44
218.56,795.93
219.01,795.51
219.46,795.19
219.91,794.99
220.37,794.92
220.82,794.98
221.27,795.17
221.72,795.46
222.17,795.85
222.63,796.31
223.08,796.81
223.53,797.33
223.98,797.85
224.43,798.35
224.88,798.81
225.34,799.24
225.79,799.63
226.24,799.98
226.69,800.29
227.14,800.59
227.59,800.86
228.04,801.12
228.50,801.38
228.95,801.65
229.40,801.93
229.85,802.24
230.30,802.59
230.75,802.99
231.20,803.44
231.66,803.95
232.11,804.51
232.56,805.12
233.01,805.74
233.46,806.36
233.91,806.95
234.36,807.47
234.81,807.90
235.26,808.21
235.71,808.42
236.17,808.50
236.62,808.50
237.07,808.41
237.52,808.28
237.97,808.13
238.42,807.98
238.87,807.84
239.32,807.72
239.77,807.59
240.22,807.46
240.67,807.31
241.12,807.11
241.57,806.88
242.02,806.62
242.47,806.35
242.92,806.12
243.37,805.96
243.82,805.90
244.27,806.00
244.72,806.25
245.18,806.67
245.63,807.23
246.08,807.89
246.53,808.61
246.98,809.33
247.43,810.00
247.88,810.56
248.33,811.00
248.78,811.28
249.23,811.42
249.68,811.44
250.12,811.36
250.57,811.23
251.02,811.08
251.47,810.95
251.92,810.87
252.37,810.86
252.82,810.94
253.27,811.10
253.72,811.33
254.17,811.61
254.62,811.91
255.07,812.22
255.52,812.49
255.97,812.72
256.42,812.87
256.87,812.95
257.32,812.95
257.77,812.88
258.22,812.75
258.66,812.58
259.11,812.38
259.56,812.18
260.01,811.99
260.46,811.84
260.91,811.76
261.36,811.75
261.81,811.84
262.26,812.05
262.71,812.39
263.15,812.85
263.60,813.44
264.05,814.14
264.50,814.92
264.95,815.73
265.40,816.55
265.85,817.30
266.30,817.97
266.74,818.50
267.19,818.87
267.64,819.07
268.09,819.09
268.54,818.95
268.99,818.65
269.43,818.23
269.88,817.70
270.33,817.10
270.78,816.45
271.23,815.79
271.68,815.15
272.12,814.57
272.57,814.07
273.02,813.68
273.47,813.43
273.92,813.34
274.36,813.42
274.81,813.66
275.26,814.06
275.71,814.58
276.16,815.20
276.60,815.87
277.05,816.55
277.50,817.20
277.95,817.78
278.39,818.26
278.84,818.61
279.29,818.82
279.74,818.89
280.19,818.83
280.63,818.64
281.08,818.35
281.53,817.99
281.98,817.55
282.42,817.08
282.87,816.57
283.32,816.04
283.76,815.50
284.21,814.96
284.66,814.42
285.11,813.89
285.55,813.40
286.00,812.96
286.45,812.58
286.89,812.29
287.34,812.10
287.79,812.01
288.23,812.03
288.68,812.14
289.13,812.32
289.58,812.57
290.02,812.85
290.47,813.16
290.92,813.48
291.36,813.80
291.81,814.13
292.26,814.48
292.70,814.84
293.15,815.24
293.60,815.67
294.04,816.12
294.49,816.61
294.93,817.10
295.38,817.60
295.83,818.08
296.27,818.52
296.72,818.90
297.17,819.21
297.61,819.45
298.06,819.61
298.50,819.71
298.95,819.76
299.40,819.80
299.84,819.85
300.29,819.97
300.73,820.17
301.18,820.50
301.63,820.97
302.07,821.57
302.52,822.29
302.96,823.09
303.41,823.94
303.85,824.79
304.30,825.59
304.75,826.30
305.19,826.89
305.64,827.36
306.08,827.71
306.53,827.93
306.97,828.05
307.42,828.10
307.86,828.09
308.31,828.05
308.75,827.99
309.20,827.95
309.65,827.94
310.09,827.97
310.54,828.07
310.98,828.25
311.43,828.52
311.87,828.89
312.32,829.36
312.76,829.93
313.21,830.57
313.65,831.27
314.10,832.00
314.54,832.75
314.99,833.48
315.43,834.20
315.87,834.89
316.32,835.55
316.76,836.19
317.21,836.84
317.65,837.51
318.10,838.21
318.54,838.97
318.99,839.80
319.43,840.69
319.88,841.64
320.32,842.63
320.76,843.66
321.21,844.68
321.65,845.68
322.10,846.63
322.54,847.51
322.99,848.30
323.43,848.99
323.87,849.58
324.32,850.07
324.76,850.47
325.21,850.78
325.65,851.05
326.09,851.27
326.54,851.48
326.98,851.68
327.42,851.90
327.87,852.15
328.31,852.42
328.76,852.72
329.20,853.05
329.64,853.39
330.09,853.75
330.53,854.11
330.97,854.48
331.42,854.84
331.86,855.21
332.30,855.58
332.75,855.96
333.19,856.36
333.63,856.78
334.08,857.24
334.52,857.74
334.96,858.29
335.41,858.89
335.85,859.53
336.29,860.22
336.74,860.96
337.18,861.74
337.62,862.56
338.06,863.41
338.51,864.30
338.95,865.22
339.39,866.18
339.84,867.16
340.28,868.16
340.72,869.18
341.16,870.21
341.61,871.24
342.05,872.28
342.49,873.33
342.93,874.42
343.38,875.55
343.82,876.77
344.26,878.10
344.70,879.56
345.15,881.19
345.59,882.99
346.03,884.97
346.47,887.10
346.92,889.38
347.36,891.76
347.80,894.22
348.24,896.73
348.68,899.27
349.13,901.82
349.57,904.40
350.01,906.99
350.45,909.62
350.89,912.31
351.34,915.05
351.78,917.87
352.22,920.75
352.66,923.69
353.10,926.68
353.54,929.72
353.99,932.79
354.43,935.89
354.87,939.04
355.31,942.26
355.75,945.57
356.19,949.03
356.63,952.66
357.08,956.50
357.52,960.58
357.96,964.93
358.40,969.54
358.84,974.42
359.28,979.54
359.72,984.88
360.16,990.40
360.60,996.06
361.05,1001.83
361.49,1007.69
361.93,1013.61
362.37,1019.60
362.81,1025.65
