wavelength,counts
188.65,245.10
189.10,245.10
189.56,245.10
190.01,245.10
190.47,245.10
190.92,276.35
191.37,289.34
191.83,304.05
192.28,320.23
192.74,337.56
193.19,355.63
193.64,374.00
194.10,392.99
194.55,412.41
195.01,432.06
195.46,451.74
195.91,471.29
196.37,490.52
196.82,509.29
197.27,527.46
197.73,544.93
198.18,561.64
198.63,577.52
199.09,592.55
199.54,606.70
199.99,619.93
200.45,632.24
200.90,643.58
201.35,653.91
201.81,663.22
202.26,671.47
202.71,678.65
203.17,684.78
203.62,689.89
204.07,694.04
204.53,697.32
204.98,699.81
205.43,701.63
205.89,702.89
206.34,703.70
206.79,704.13
207.25,704.27
207.70,704.17
208.15,703.87
208.60,703.40
209.06,702.75
209.51,701.94
209.96,700.96
210.41,699.82
210.87,698.52
211.32,697.08
211.77,695.52
212.23,693.88
212.68,692.20
213.13,690.51
213.58,688.85
214.04,687.26
214.49,685.76
214.94,684.37
215.39,683.09
215.84,681.93
216.30,680.88
216.75,679.92
217.20,679.04
217.65,678.22
218.11,677.45
218.56,676.72
219.01,676.04
219.46,675.41
219.91,674.86
220.37,674.41
220.82,674.07
221.27,673.86
221.72,673.81
222.17,673.91
222.63,674.16
223.08,674.54
223.53,675.03
223.98,675.59
224.43,676.20
224.88,676.83
225.34,677.45
225.79,678.05
226.24,678.63
226.69,679.18
227.14,679.71
227.59,680.22
228.04,680.70
228.50,681.16
228.95,681.58
229.40,681.95
229.85,682.26
230.30,682.50
230.75,682.67
231.20,682.76
231.66,682.81
232.11,682.81
232.56,682.80
233.01,682.77
233.46,682.75
233.91,682.72
234.36,682.68
234.81,682.61
235.26,682.50
235.71,682.32
236.17,682.08
236.62,681.78
237.07,681.44
237.52,681.07
237.97,680.71
238.42,680.39
238.87,680.13
239.32,679.94
239.77,679.84
240.22,679.82
240.67,679.88
241.12,679.99
241.57,680.14
242.02,680.33
242.47,680.55
242.92,680.79
243.37,681.08
243.82,681.42
244.27,681.83
244.72,682.31
245.18,682.88
245.63,683.51
246.08,684.19
246.53,684.89
246.98,685.57
247.43,686.20
247.88,686.74
248.33,687.15
248.78,687.41
249.23,687.50
249.68,687.42
250.12,687.18
250.57,686.79
251.02,686.29
251.47,685.69
251.92,685.06
252.37,684.41
252.82,683.82
253.27,683.30
253.72,682.89
254.17,682.62
254.62,682.50
255.07,682.52
255.52,682.67
255.97,682.94
256.42,683.29
256.87,683.70
257.32,684.13
257.77,684.57
258.22,684.99
258.66,685.40
259.11,685.78
259.56,686.16
260.01,686.53
260.46,686.91
260.91,687.31
261.36,687.72
261.81,688.15
262.26,688.58
262.71,689.00
263.15,689.39
263.60,689.74
264.05,690.05
264.50,690.31
264.95,690.53
265.40,690.72
265.85,690.90
266.30,691.08
266.74,691.26
267.19,691.45
267.64,691.65
268.09,691.82
268.54,691.96
268.99,692.05
269.43,692.05
269.88,691.97
270.33,691.80
270.78,691.56
271.23,691.25
271.68,690.92
272.12,690.59
272.57,690.31
273.02,690.10
273.47,689.99
273.92,689.99
274.36,690.12
274.81,690.38
275.26,690.74
275.71,691.19
276.16,691.70
276.60,692.24
277.05,692.78
277.50,693.29
277.95,693.75
278.39,694.14
278.84,694.45
279.29,694.69
279.74,694.87
280.19,695.00
280.63,695.11
281.08,695.20
281.53,695.30
281.98,695.39
282.42,695.48
282.87,695.57
283.32,695.62
283.76,695.64
284.21,695.62
284.66,695.55
285.11,695.43
285.55,695.28
286.00,695.12
286.45,694.97
286.89,694.84
287.34,694.75
287.79,694.71
288.23,694.73
288.68,694.79
289.13,694.90
289.58,695.02
290.02,695.15
290.47,695.25
290.92,695.32
291.36,695.34
291.81,695.30
292.26,695.19
292.70,695.02
293.15,694.80
293.60,694.54
294.04,694.28
294.49,694.02
294.93,693.80
295.38,693.64
295.83,693.55
296.27,693.56
296.72,693.66
297.17,693.85
297.61,694.15
298.06,694.52
298.50,694.98
298.95,695.49
299.40,696.03
299.84,696.60
300.29,697.17
300.73,697.72
301.18,698.22
301.63,698.66
302.07,699.01
302.52,699.26
302.96,699.41
303.41,699.44
303.85,699.36
304.30,699.19
304.75,698.94
305.19,698.66
305.64,698.36
306.08,698.07
306.53,697.83
306.97,697.65
307.42,697.55
307.86,697.52
308.31,697.56
308.75,697.67
309.20,697.82
309.65,698.01
310.09,698.22
310.54,698.45
310.98,698.69
311.43,698.95
311.87,699.23
312.32,699.54
312.76,699.87
313.21,700.23
313.65,700.60
314.10,701.00
314.54,701.39
314.99,701.78
315.43,702.15
315.87,702.49
316.32,702.79
316.76,703.06
317.21,703.29
317.65,703.49
318.10,703.67
318.54,703.83
318.99,703.99
319.43,704.15
319.88,704.32
320.32,704.51
320.76,704.72
321.21,704.96
321.65,705.21
322.10,705.49
322.54,705.80
322.99,706.12
323.43,706.45
323.87,706.79
324.32,707.12
324.76,707.44
325.21,707.72
325.65,707.96
326.09,708.14
326.54,708.27
326.98,708.34
327.42,708.37
327.87,708.39
328.31,708.41
328.76,708.47
329.20,708.59
329.64,708.80
330.09,709.11
330.53,709.52
330.97,710.01
331.42,710.56
331.86,711.16
332.30,711.76
332.75,712.33
333.19,712.87
333.63,713.34
334.08,713.75
334.52,714.09
334.96,714.38
335.41,714.62
335.85,714.85
336.29,715.07
336.74,715.31
337.18,715.60
337.62,715.95
338.06,716.38
338.51,716.91
338.95,717.55
339.39,718.30
339.84,719.15
340.28,720.08
340.72,721.09
341.16,722.13
341.61,723.19
342.05,724.23
342.49,725.24
342.93,726.21
343.38,727.12
343.82,727.98
344.26,728.79
344.70,729.54
345.15,730.24
345.59,730.89
346.03,731.47
346.47,731.98
346.92,732.41
347.36,732.76
347.80,733.03
348.24,733.22
348.68,733.36
349.13,733.48
349.57,733.59
350.01,733.72
350.45,733.88
350.89,734.08
351.34,734.32
351.78,734.57
352.22,734.81
352.66,735.01
353.10,735.14
353.54,735.18
353.99,735.13
354.43,734.98
354.87,734.75
355.31,734.48
355.75,734.19
356.19,733.94
356.63,733.76
357.08,733.68
357.52,733.74
357.96,733.93
358.40,734.25
358.84,734.69
359.28,735.22
359.72,735.79
360.16,736.37
360.60,736.91
361.05,737.38
361.49,737.74
361.93,737.99
362.37,738.10
362.81,738.08
363.25,737.94
363.69,737.69
364.13,737.35
364.57,736.95
365.01,736.50
365.45,736.04
365.89,735.58
366.33,735.16
366.78,734.79
367.22,734.50
367.66,734.29
368.10,734.17
368.54,734.15
368.98,734.22
369.42,734.37
369.86,734.56
370.30,734.77
370.74,734.95
371.18,735.07
371.62,735.08
372.06,734.96
372.50,734.67
372.94,734.19
373.38,733.54
373.82,732.72
374.26,731.76
374.70,730.70
375.14,729.61
375.58,728.52
376.02,727.52
376.46,726.64
376.90,725.93
377.34,725.41
377.78,725.10
378.21,724.98
378.65,725.02
379.09,725.18
379.53,725.40
379.97,725.65
380.41,725.87
380.85,726.03
381.29,726.09
381.73,726.06
382.17,725.92
382.61,725.71
383.05,725.42
383.49,725.09
383.93,724.74
384.36,724.37
384.80,724.00
385.24,723.63
385.68,723.25
386.12,722.84
386.56,722.40
387.00,721.89
387.44,721.32
387.87,720.66
388.31,719.93
388.75,719.13
389.19,718.29
389.63,717.45
390.07,716.64
390.51,715.90
390.94,715.28
391.38,714.79
391.82,714.45
392.26,714.26
392.70,714.21
393.14,714.27
393.57,714.40
394.01,714.56
394.45,714.72
394.89,714.85
395.33,714.93
395.76,714.95
396.20,714.91
396.64,714.83
397.08,714.70
397.52,714.55
397.95,714.36
398.39,714.13
398.83,713.86
399.27,713.55
399.70,713.19
400.14,712.80
400.58,712.40
401.02,712.02
401.45,711.71
401.89,711.50
402.33,711.42
402.77,711.50
403.20,711.73
403.64,712.11
404.08,712.59
404.52,713.13
404.95,713.67
405.39,714.16
405.83,714.56
406.26,714.83
406.70,714.95
407.14,714.94
407.58,714.79
408.01,714.54
408.45,714.22
408.89,713.87
409.32,713.53
409.76,713.24
410.20,713.03
410.63,712.92
411.07,712.92
411.51,713.03
411.94,713.25
412.38,713.55
412.82,713.90
413.25,714.27
413.69,714.62
414.12,714.90
414.56,715.10
415.00,715.19
415.43,715.16
415.87,715.02
416.31,714.78
416.74,714.44
417.18,714.05
417.61,713.61
418.05,713.14
418.49,712.67
418.92,712.21
419.36,711.75
419.79,711.30
420.23,710.87
420.67,710.46
421.10,710.09
421.54,709.75
421.97,709.47
422.41,709.25
422.84,709.11
423.28,709.05
423.71,709.07
424.15,709.17
424.59,709.33
425.02,709.54
425.46,709.78
425.89,710.03
426.33,710.27
426.76,710.48
427.20,710.64
427.63,710.75
428.07,710.79
428.50,710.74
428.94,710.61
429.37,710.38
429.81,710.06
430.24,709.66
430.68,709.20
431.11,708.68
431.55,708.16
431.98,707.65
432.42,707.20
432.85,706.83
433.28,706.57
433.72,706.44
434.15,706.44
434.59,706.56
435.02,706.80
435.46,707.13
435.89,707.53
436.33,707.97
436.76,708.44
437.19,708.92
437.63,709.40
438.06,709.86
438.50,710.31
438.93,710.73
439.37,711.12
439.80,711.46
440.23,711.75
440.67,711.96
441.10,712.10
441.53,712.14
441.97,712.08
442.40,711.90
