wavelength,counts
188.65,87.05
189.10,87.05
189.56,87.05
190.01,87.05
190.47,87.05
190.92,103.37
191.37,111.09
191.83,120.51
192.28,131.67
192.74,144.55
193.19,159.04
193.64,174.94
194.10,192.37
194.55,211.15
195.01,231.09
195.46,252.00
195.91,273.68
196.37,295.90
196.82,318.45
197.27,341.09
197.73,363.61
198.18,385.75
198.63,407.27
199.09,427.91
199.54,447.41
199.99,465.57
200.45,482.17
200.90,497.06
201.35,510.14
201.81,521.39
202.26,530.84
202.71,538.57
203.17,544.74
203.62,549.55
204.07,553.22
204.53,555.96
204.98,557.99
205.43,559.51
205.89,560.68
206.34,561.60
206.79,562.34
207.25,562.93
207.70,563.33
208.15,563.51
208.60,563.38
209.06,562.86
209.51,561.89
209.96,560.43
210.41,558.45
210.87,556.00
211.32,553.16
211.77,550.05
212.23,546.83
212.68,543.68
213.13,540.77
213.58,538.25
214.04,536.24
214.49,534.82
214.94,534.01
215.39,533.78
215.84,534.05
216.30,534.73
216.75,535.70
217.20,536.83
217.65,538.01
218.11,539.15
218.56,540.19
219.01,541.09
219.46,541.84
219.91,542.48
220.37,543.03
220.82,543.55
221.27,544.09
221.72,544.69
222.17,545.38
222.63,546.17
223.08,547.05
223.53,547.99
223.98,548.95
224.43,549.88
224.88,550.74
225.34,551.48
225.79,552.10
226.24,552.57
226.69,552.90
227.14,553.10
227.59,553.18
228.04,553.15
228.50,553.02
228.95,552.78
229.40,552.42
229.85,551.94
230.30,551.35
230.75,550.68
231.20,549.97
231.66,549.29
232.11,548.72
232.56,548.33
233.01,548.22
233.46,548.42
233.91,548.98
234.36,549.87
234.81,551.06
235.26,552.44
235.71,553.92
236.17,555.37
236.62,556.64
237.07,557.64
237.52,558.29
237.97,558.53
238.42,558.37
238.87,557.86
239.32,557.08
239.77,556.15
240.22,555.19
240.67,554.32
241.12,553.65
241.57,553.26
242.02,553.18
242.47,553.42
242.92,553.94
243.37,554.68
243.82,555.55
244.27,556.46
244.72,557.35
245.18,558.15
245.63,558.82
246.08,559.37
246.53,559.79
246.98,560.11
247.43,560.36
247.88,560.55
248.33,560.68
248.78,560.75
249.23,560.73
249.68,560.58
250.12,560.26
250.57,559.75
251.02,559.02
251.47,558.08
251.92,556.98
252.37,555.76
252.82,554.51
253.27,553.30
253.72,552.22
254.17,551.34
254.62,550.72
255.07,550.38
255.52,550.33
255.97,550.53
256.42,550.93
256.87,551.46
257.32,552.03
257.77,552.56
258.22,552.98
258.66,553.21
259.11,553.21
259.56,552.96
260.01,552.44
260.46,551.67
260.91,550.69
261.36,549.55
261.81,548.32
262.26,547.07
262.71,545.89
263.15,544.86
263.60,544.03
264.05,543.45
264.50,543.13
264.95,543.06
265.40,543.19
265.85,543.45
266.30,543.75
266.74,544.00
267.19,544.12
267.64,544.04
268.09,543.72
268.54,543.12
268.99,542.28
269.43,541.21
269.88,539.99
270.33,538.69
270.78,537.40
271.23,536.20
271.68,535.18
272.12,534.43
272.57,534.02
273.02,533.99
273.47,534.38
273.92,535.20
274.36,536.43
274.81,538.05
275.26,539.99
275.71,542.19
276.16,544.56
276.60,547.00
277.05,549.40
277.50,551.66
277.95,553.69
278.39,555.38
278.84,556.67
279.29,557.51
279.74,557.88
280.19,557.81
280.63,557.33
281.08,556.53
281.53,555.49
281.98,554.32
282.42,553.13
282.87,552.01
283.32,551.07
283.76,550.35
284.21,549.89
284.66,549.70
285.11,549.79
285.55,550.12
286.00,550.67
286.45,551.41
286.89,552.31
287.34,553.33
287.79,554.46
288.23,555.67
288.68,556.93
289.13,558.21
