wavelength,counts
188.65,20.49
189.10,20.49
189.56,20.49
190.01,20.49
190.47,20.49
190.92,63.00
191.37,80.02
191.83,98.85
192.28,119.02
192.74,140.02
193.19,161.27
193.64,182.18
194.10,203.33
194.55,224.57
195.01,245.79
195.46,266.88
195.91,287.77
196.37,308.35
196.82,328.53
197.27,348.18
197.73,367.21
198.18,385.51
198.63,402.96
199.09,419.47
199.54,434.97
199.99,449.38
200.45,462.66
200.90,474.79
201.35,485.74
201.81,495.56
202.26,504.25
202.71,511.87
203.17,518.47
203.62,524.13
204.07,528.92
204.53,532.93
204.98,536.23
205.43,538.94
205.89,541.12
206.34,542.85
206.79,544.20
207.25,545.23
207.70,545.96
208.15,546.41
208.60,546.58
209.06,546.46
209.51,546.04
209.96,545.31
210.41,544.24
210.87,542.84
211.32,541.12
211.77,539.11
212.23,536.87
212.68,534.46
213.13,531.98
213.58,529.55
214.04,527.27
214.49,525.27
214.94,523.64
215.39,522.46
215.84,521.77
216.30,521.59
216.75,521.88
217.20,522.59
217.65,523.63
218.11,524.90
218.56,526.30
219.01,527.76
219.46,529.20
219.91,530.57
220.37,531.87
220.82,533.08
221.27,534.21
221.72,535.30
222.17,536.37
222.63,537.42
223.08,538.49
223.53,539.56
223.98,540.62
224.43,541.64
224.88,542.58
225.34,543.39
225.79,544.01
226.24,544.39
226.69,544.49
227.14,544.28
227.59,543.76
228.04,542.95
228.50,541.88
228.95,540.64
229.40,539.28
229.85,537.90
230.30,536.58
230.75,535.38
231.20,534.33
231.66,533.46
232.11,532.74
232.56,532.13
233.01,531.57
233.46,530.98
233.91,530.32
234.36,529.51
234.81,528.55
235.26,527.45
235.71,526.24
236.17,525.01
236.62,523.85
237.07,522.86
237.52,522.13
237.97,521.71
238.42,521.65
238.87,521.92
239.32,522.49
239.77,523.28
240.22,524.20
240.67,525.17
241.12,526.10
241.57,526.97
242.02,527.74
242.47,528.42
242.92,529.06
243.37,529.67
243.82,530.32
244.27,531.01
244.72,531.77
245.18,532.57
245.63,533.41
246.08,534.23
246.53,535.00
246.98,535.68
247.43,536.25
247.88,536.70
248.33,537.05
248.78,537.30
249.23,537.49
249.68,537.64
250.12,537.78
250.57,537.91
251.02,538.04
251.47,538.16
251.92,538.25
252.37,538.28
252.82,538.22
253.27,538.05
253.72,537.75
254.17,537.31
254.62,536.76
255.07,536.12
255.52,535.43
255.97,534.77
256.42,534.17
256.87,533.71
257.32,533.42
257.77,533.33
258.22,533.46
258.66,533.77
259.11,534.27
259.56,534.90
260.01,535.64
260.46,536.45
260.91,537.30
261.36,538.16
261.81,539.01
262.26,539.84
262.71,540.61
263.15,541.33
