wavelength,counts
188.65,130.55
189.10,130.55
189.56,130.55
190.01,130.55
190.47,130.55
190.92,139.24
191.37,144.18
191.83,150.73
192.28,159.08
192.74,169.36
193.19,181.60
193.64,195.73
194.10,211.71
194.55,229.34
195.01,248.39
195.46,268.57
195.91,289.58
196.37,311.10
196.82,332.83
197.27,354.45
197.73,375.71
198.18,396.34
198.63,416.13
199.09,434.89
199.54,452.45
199.99,468.71
200.45,483.57
200.90,497.00
201.35,508.99
201.81,519.57
202.26,528.81
202.71,536.79
203.17,543.66
203.62,549.53
204.07,554.56
204.53,558.88
204.98,562.61
205.43,565.83
205.89,568.63
206.34,571.04
206.79,573.07
207.25,574.73
207.70,576.02
208.15,576.91
208.60,577.40
209.06,577.50
209.51,577.23
209.96,576.60
210.41,575.65
210.87,574.44
211.32,573.00
211.77,571.41
212.23,569.73
212.68,568.03
213.13,566.37
213.58,564.82
214.04,563.42
214.49,562.22
214.94,561.25
215.39,560.50
215.84,559.98
216.30,559.66
216.75,559.52
217.20,559.50
217.65,559.57
218.11,559.65
218.56,559.69
219.01,559.64
219.46,559.45
219.91,559.07
220.37,558.48
220.82,557.66
221.27,556.61
221.72,555.35
222.17,553.89
222.63,552.30
223.08,550.62
223.53,548.94
223.98,547.36
224.43,545.98
224.88,544.93
225.34,544.33
225.79,544.25
226.24,544.76
226.69,545.88
227.14,547.55
227.59,549.68
228.04,552.10
228.50,554.64
228.95,557.07
229.40,559.21
229.85,560.89
230.30,561.97
230.75,562.40
231.20,562.17
231.66,561.32
232.11,559.95
232.56,558.18
233.01,556.14
233.46,553.96
233.91,551.77
234.36,549.67
234.81,547.75
235.26,546.08
235.71,544.71
236.17,543.67
236.62,542.98
237.07,542.63
237.52,542.62
237.97,542.89
238.42,543.42
238.87,544.13
239.32,544.99
239.77,545.92
240.22,546.89
240.67,547.86
241.12,548.80
241.57,549.72
242.02,550.60
242.47,551.44
242.92,552.25
243.37,553.02
243.82,553.73
244.27,554.36
244.72,554.88
245.18,555.26
245.63,555.49
246.08,555.54
246.53,555.43
246.98,555.17
247.43,554.78
247.88,554.29
248.33,553.74
248.78,553.17
249.23,552.59
249.68,552.03
250.12,551.51
250.57,551.01
251.02,550.56
251.47,550.16
251.92,549.81
252.37,549.53
252.82,549.34
253.27,549.25
253.72,549.30
254.17,549.49
254.62,549.82
255.07,550.28
255.52,550.87
255.97,551.53
256.42,552.25
256.87,552.97
257.32,553.64
257.77,554.24
258.22,554.71
258.66,555.05
259.11,555.23
259.56,555.26
260.01,555.15
260.46,554.94
260.91,554.67
261.36,554.40
261.81,554.19
262.26,554.11
262.71,554.22
263.15,554.57
263.60,555.18
264.05,556.08
264.50,557.23
264.95,558.59
265.40,560.12
265.85,561.72
266.30,563.33
266.74,564.87
267.19,566.26
267.64,567.45
268.09,568.40
268.54,569.07
268.99,569.43
269.43,569.49
269.88,569.24
270.33,568.70
270.78,567.89
271.23,566.88
271.68,565.73
272.12,564.51
272.57,563.30
273.02,562.20
273.47,561.26
273.92,560.54
274.36,560.06
274.81,559.85
275.26,559.86
275.71,560.08
276.16,560.46
276.60,560.95
277.05,561.52
277.50,562.13
277.95,562.76
278.39,563.40
278.84,564.04
279.29,564.66
279.74,565.23
280.19,565.72
280.63,566.08
281.08,566.24
281.53,566.15
281.98,565.76
282.42,565.05
282.87,564.03
283.32,562.74
283.76,561.27
284.21,559.72
284.66,558.20
285.11,556.85
285.55,555.77
286.00,555.05
286.45,554.72
286.89,554.82
287.34,555.32
287.79,556.17
288.23,557.32
288.68,558.67
289.13,560.13
289.58,561.62
290.02,563.02
290.47,564.24
290.92,565.19
291.36,565.81
291.81,566.03
292.26,565.83
292.70,565.22
293.15,564.25
293.60,562.99
294.04,561.52
294.49,559.97
294.93,558.43
295.38,557.03
295.83,555.85
296.27,554.96
296.72,554.41
297.17,554.23
297.61,554.44
298.06,555.04
298.50,556.00
298.95,557.32
299.40,558.97
299.84,560.89
300.29,563.04
300.73,565.33
301.18,567.70
301.63,570.04
302.07,572.28
302.52,574.32
302.96,576.10
303.41,577.60
303.85,578.78
304.30,579.68
304.75,580.31
305.19,580.73
305.64,580.99
306.08,581.12
306.53,581.16
306.97,581.10
307.42,580.93
307.86,580.64
308.31,580.19
308.75,579.54
309.20,578.69
309.65,577.64
310.09,576.42
310.54,575.06
310.98,573.66
311.43,572.29
311.87,571.05
312.32,570.05
312.76,569.37
313.21,569.09
313.65,569.27
314.10,569.90
314.54,570.99
314.99,572.46
315.43,574.25
315.87,576.22
316.32,578.25
316.76,580.21
317.21,581.98
317.65,583.46
318.10,584.58
318.54,585.31
318.99,585.67
319.43,585.68
319.88,585.40
320.32,584.90
320.76,584.25
321.21,583.49
321.65,582.69
322.10,581.89
322.54,581.12
322.99,580.44
323.43,579.90
323.87,579.55
324.32,579.48
324.76,579.73
325.21,580.37
325.65,581.42
326.09,582.90
326.54,584.75
326.98,586.91
327.42,589.28
327.87,591.72
328.31,594.11
328.76,596.30
329.20,598.19
329.64,599.67
330.09,600.68
330.53,601.18
330.97,601.18
331.42,600.69
331.86,599.75
332.30,598.41
332.75,596.76
333.19,594.87
333.63,592.85
334.08,590.79
334.52,588.80
334.96,587.01
335.41,585.49
335.85,584.32
336.29,583.54
336.74,583.16
337.18,583.11
337.62,583.32
338.06,583.67
338.51,584.02
338.95,584.25
339.39,584.23
339.84,583.90
340.28,583.22
340.72,582.23
341.16,581.01
341.61,579.69
342.05,578.43
342.49,577.39
342.93,576.75
343.38,576.62
343.82,577.11
344.26,578.24
344.70,579.96
345.15,582.19
345.59,584.74
346.03,587.44
346.47,590.04
346.92,592.32
347.36,594.05
347.80,595.07
348.24,595.25
348.68,594.54
349.13,592.94
349.57,590.54
350.01,587.50
