wavelength,counts
188.65,43.54
189.10,43.54
189.56,43.54
190.01,43.54
190.47,43.54
190.92,77.16
191.37,91.41
191.83,107.70
192.28,125.76
192.74,145.22
193.19,165.60
193.64,186.36
194.10,207.77
194.55,229.57
195.01,251.52
195.46,273.47
195.91,295.29
196.37,316.91
196.82,338.30
197.27,359.47
197.73,380.42
198.18,401.15
198.63,421.63
199.09,441.78
199.54,461.46
199.99,480.48
200.45,498.62
200.90,515.62
201.35,531.26
201.81,545.33
202.26,557.67
202.71,568.22
203.17,576.95
203.62,583.94
204.07,589.31
204.53,593.22
204.98,595.87
205.43,597.45
205.89,598.16
206.34,598.16
206.79,597.59
207.25,596.57
207.70,595.19
208.15,593.53
208.60,591.66
209.06,589.64
209.51,587.52
209.96,585.34
210.41,583.16
210.87,581.00
211.32,578.88
211.77,576.82
212.23,574.82
212.68,572.86
213.13,570.95
213.58,569.07
214.04,567.21
214.49,565.38
214.94,563.57
215.39,561.82
215.84,560.13
216.30,558.52
216.75,557.03
217.20,555.65
217.65,554.41
218.11,553.28
218.56,552.28
219.01,551.41
219.46,550.66
219.91,550.05
220.37,549.62
220.82,549.40
221.27,549.43
221.72,549.74
222.17,550.34
222.63,551.22
223.08,552.36
223.53,553.69
223.98,555.13
224.43,556.61
224.88,558.02
225.34,559.31
225.79,560.40
226.24,561.27
226.69,561.90
227.14,562.31
227.59,562.51
228.04,562.57
228.50,562.51
228.95,562.42
229.40,562.34
229.85,562.35
230.30,562.52
230.75,562.89
231.20,563.50
231.66,564.37
232.11,565.48
232.56,566.79
233.01,568.22
233.46,569.68
233.91,571.04
234.36,572.21
234.81,573.07
235.26,573.55
235.71,573.61
236.17,573.25
236.62,572.50
237.07,571.45
237.52,570.18
237.97,568.84
238.42,567.55
238.87,566.47
239.32,565.72
239.77,565.42
240.22,565.65
240.67,566.47
241.12,567.88
241.57,569.83
242.02,572.23
242.47,574.93
242.92,577.77
243.37,580.57
243.82,583.15
244.27,585.36
244.72,587.07
245.18,588.21
245.63,588.76
246.08,588.74
246.53,588.20
246.98,587.22
247.43,585.87
247.88,584.26
248.33,582.45
248.78,580.53
249.23,578.57
249.68,576.62
250.12,574.77
250.57,573.08
251.02,571.62
251.47,570.44
251.92,569.59
252.37,569.07
252.82,568.90
253.27,569.03
253.72,569.39
254.17,569.93
254.62,570.53
255.07,571.10
255.52,571.55
255.97,571.82
256.42,571.85
256.87,571.62
257.32,571.15
257.77,570.49
258.22,569.71
258.66,568.91
259.11,568.18
259.56,567.62
260.01,567.34
260.46,567.40
260.91,567.86
261.36,568.75
261.81,570.08
262.26,571.82
262.71,573.92
263.15,576.31
263.60,578.85
264.05,581.44
264.50,583.93
264.95,586.16
265.40,588.02
265.85,589.39
266.30,590.21
266.74,590.47
267.19,590.20
267.64,589.48
268.09,588.45
268.54,587.25
268.99,586.02
269.43,584.90
269.88,584.01
270.33,583.41
270.78,583.15
271.23,583.22
271.68,583.58
272.12,584.17
272.57,584.90
273.02,585.70
273.47,586.49
273.92,587.22
274.36,587.85
274.81,588.36
275.26,588.75
275.71,589.05
276.16,589.27
276.60,589.44
277.05,589.60
277.50,589.75
277.95,589.91
278.39,590.10
278.84,590.31
279.29,590.54
279.74,590.79
280.19,591.07
280.63,591.38
281.08,591.72
281.53,592.10
281.98,592.55
282.42,593.09
282.87,593.71
283.32,594.45
283.76,595.31
284.21,596.26
284.66,597.29
285.11,598.34
285.55,599.35
286.00,600.25
286.45,600.97
286.89,601.44
287.34,601.62
287.79,601.50
288.23,601.08
288.68,600.41
289.13,599.57
289.58,598.63
290.02,597.69
290.47,596.82
290.92,596.10
291.36,595.56
291.81,595.22
292.26,595.09
292.70,595.14
293.15,595.34
293.60,595.66
294.04,596.06
294.49,596.50
294.93,596.95
295.38,597.39
295.83,597.77
296.27,598.10
296.72,598.35
297.17,598.53
297.61,598.62
298.06,598.64
298.50,598.58
298.95,598.47
299.40,598.31
299.84,598.10
300.29,597.85
300.73,597.55
301.18,597.21
301.63,596.83
302.07,596.44
302.52,596.04
302.96,595.67
303.41,595.37
303.85,595.19
304.30,595.15
304.75,595.29
305.19,595.60
305.64,596.07
306.08,596.63
306.53,597.23
306.97,597.75
307.42,598.10
307.86,598.18
308.31,597.91
308.75,597.25
309.20,596.21
309.65,594.84
310.09,593.22
310.54,591.50
310.98,589.84
311.43,588.38
311.87,587.29
312.32,586.69
312.76,586.64
313.21,587.19
313.65,588.33
314.10,589.98
314.54,592.05
314.99,594.41
315.43,596.91
315.87,599.39
316.32,601.72
316.76,603.74
317.21,605.35
317.65,606.47
318.10,607.06
318.54,607.11
318.99,606.67
319.43,605.81
319.88,604.65
320.32,603.32
320.76,601.96
321.21,600.69
321.65,599.63
322.10,598.83
