wavelength,counts
188.65,64.02
189.10,64.02
189.56,64.02
190.01,64.02
190.47,64.02
190.92,94.21
191.37,106.79
191.83,121.04
192.28,136.72
192.74,153.50
193.19,171.03
193.64,188.89
194.10,207.46
194.55,226.65
195.01,246.37
195.46,266.57
195.91,287.17
196.37,308.12
196.82,329.31
197.27,350.62
197.73,371.89
198.18,392.95
198.63,413.62
199.09,433.71
199.54,453.03
199.99,471.41
200.45,488.72
200.90,504.83
201.35,519.66
201.81,533.14
202.26,545.22
202.71,555.88
203.17,565.10
203.62,572.89
204.07,579.25
204.53,584.23
204.98,587.87
205.43,590.25
205.89,591.49
206.34,591.71
206.79,591.07
207.25,589.75
207.70,587.92
208.15,585.75
208.60,583.40
209.06,580.97
209.51,578.56
209.96,576.23
210.41,574.01
210.87,571.88
211.32,569.87
211.77,567.95
212.23,566.13
212.68,564.44
213.13,562.89
213.58,561.55
214.04,560.46
214.49,559.67
214.94,559.24
215.39,559.20
215.84,559.55
216.30,560.28
216.75,561.35
217.20,562.67
217.65,564.13
218.11,565.60
218.56,566.94
219.01,568.00
219.46,568.67
219.91,568.87
220.37,568.57
220.82,567.80
221.27,566.65
221.72,565.25
222.17,563.77
222.63,562.35
223.08,561.13
223.53,560.21
223.98,559.61
224.43,559.30
224.88,559.19
225.34,559.15
225.79,559.04
226.24,558.76
226.69,558.20
227.14,557.35
227.59,556.23
228.04,554.91
228.50,553.51
228.95,552.15
229.40,550.96
229.85,550.03
230.30,549.43
230.75,549.18
231.20,549.24
231.66,549.58
232.11,550.13
232.56,550.82
233.01,551.59
233.46,552.42
233.91,553.29
234.36,554.22
234.81,555.24
235.26,556.36
235.71,557.60
236.17,558.94
236.62,560.33
237.07,561.67
237.52,562.84
237.97,563.71
238.42,564.13
238.87,564.00
239.32,563.23
239.77,561.82
240.22,559.80
240.67,557.30
241.12,554.47
241.57,551.54
242.02,548.72
242.47,546.25
242.92,544.32
243.37,543.09
243.82,542.64
244.27,542.99
244.72,544.12
245.18,545.91
245.63,548.21
246.08,550.87
246.53,553.71
246.98,556.56
247.43,559.28
247.88,561.78
248.33,564.01
248.78,565.95
249.23,567.61
249.68,569.03
250.12,570.21
250.57,571.18
251.02,571.91
251.47,572.37
251.92,572.47
252.37,572.13
252.82,571.30
253.27,569.92
253.72,568.01
254.17,565.61
254.62,562.86
255.07,559.94
255.52,557.04
255.97,554.41
256.42,552.24
256.87,550.69
257.32,549.89
257.77,549.84
258.22,550.51
258.66,551.78
259.11,553.48
259.56,555.43
260.01,557.43
260.46,559.29
260.91,560.89
261.36,562.12
261.81,562.94
262.26,563.33
262.71,563.34
263.15,563.00
263.60,562.38
264.05,561.53
264.50,560.49
264.95,559.29
265.40,557.96
265.85,556.52
266.30,555.00
266.74,553.46
267.19,551.94
267.64,550.53
268.09,549.31
268.54,548.35
268.99,547.73
269.43,547.52
269.88,547.73
270.33,548.37
270.78,549.42
271.23,550.83
271.68,552.52
272.12,554.41
272.57,556.41
273.02,558.41
273.47,560.34
273.92,562.12
274.36,563.70
274.81,565.06
275.26,566.19
275.71,567.11
276.16,567.87
276.60,568.51
277.05,569.12
277.50,569.74
277.95,570.43
278.39,571.24
278.84,572.19
279.29,573.28
279.74,574.49
280.19,575.79
280.63,577.13
281.08,578.44
281.53,579.64
281.98,580.65
282.42,581.39
282.87,581.79
283.32,581.78
283.76,581.36
284.21,580.51
284.66,579.29
285.11,577.77
285.55,576.06
286.00,574.31
286.45,572.64
286.89,571.19
287.34,570.08
287.79,569.36
288.23,569.07
288.68,569.20
289.13,569.66
289.58,570.38
290.02,571.26
290.47,572.17
290.92,573.05
291.36,573.82
291.81,574.46
292.26,574.96
292.70,575.34
293.15,575.61
293.60,575.81
294.04,575.93
294.49,575.96
294.93,575.89
295.38,575.69
295.83,575.34
296.27,574.84
296.72,574.21
297.17,573.51
297.61,572.80
298.06,572.17
298.50,571.68
298.95,571.40
299.40,571.36
299.84,571.54
300.29,571.89
300.73,572.34
301.18,572.77
301.63,573.09
302.07,573.21
302.52,573.07
302.96,572.64
303.41,571.91
303.85,570.95
304.30,569.80
304.75,568.56
305.19,567.30
305.64,566.09
306.08,565.00
306.53,564.05
306.97,563.27
307.42,562.66
307.86,562.21
308.31,561.92
308.75,561.77
309.20,561.77
309.65,561.92
310.09,562.24
310.54,562.73
310.98,563.41
311.43,564.27
311.87,565.31
312.32,566.49
312.76,567.77
313.21,569.12
313.65,570.48
314.10,571.82
314.54,573.11
314.99,574.34
315.43,575.51
315.87,576.65
316.32,577.78
316.76,578.93
317.21,580.14
317.65,581.39
318.10,582.68
318.54,583.99
318.99,585.27
319.43,586.48
319.88,587.56
320.32,588.48
320.76,589.20
321.21,589.71
321.65,590.03
322.10,590.15
322.54,590.12
322.99,589.97
323.43,589.73
323.87,589.45
324.32,589.14
324.76,588.81
325.21,588.48
325.65,588.14
326.09,587.76
326.54,587.35
326.98,586.90
327.42,586.40
327.87,585.88
328.31,585.36
328.76,584.87
329.20,584.43
329.64,584.08
330.09,583.81
330.53,583.64
330.97,583.53
331.42,583.46
