wavelength,counts
188.65,574.47
189.10,574.47
189.56,574.47
190.01,574.47
190.47,574.47
190.92,619.60
191.37,637.60
191.83,657.42
192.28,678.57
192.74,700.47
193.19,722.47
193.64,743.93
194.10,765.47
194.55,786.92
195.01,808.18
195.46,829.17
195.91,849.83
196.37,870.12
196.82,889.96
197.27,909.28
197.73,928.03
198.18,946.14
198.63,963.53
199.09,980.14
199.54,995.89
199.99,1010.71
200.45,1024.54
200.90,1037.30
201.35,1048.95
201.81,1059.44
202.26,1068.74
202.71,1076.86
203.17,1083.82
203.62,1089.68
204.07,1094.51
204.53,1098.42
204.98,1101.53
205.43,1103.97
205.89,1105.84
206.34,1107.25
206.79,1108.27
207.25,1108.95
207.70,1109.31
208.15,1109.34
208.60,1109.00
209.06,1108.25
209.51,1107.05
209.96,1105.37
210.41,1103.17
210.87,1100.46
211.32,1097.28
211.77,1093.69
212.23,1089.80
212.68,1085.73
213.13,1081.64
213.58,1077.70
214.04,1074.07
214.49,1070.91
214.94,1068.35
215.39,1066.46
215.84,1065.28
216.30,1064.82
216.75,1065.00
217.20,1065.75
217.65,1066.94
218.11,1068.46
218.56,1070.17
219.01,1071.94
219.46,1073.68
219.91,1075.28
220.37,1076.68
220.82,1077.84
221.27,1078.75
221.72,1079.40
222.17,1079.81
222.63,1080.03
223.08,1080.09
223.53,1080.04
223.98,1079.91
224.43,1079.74
224.88,1079.58
225.34,1079.46
225.79,1079.41
226.24,1079.51
226.69,1079.79
227.14,1080.34
227.59,1081.22
228.04,1082.46
228.50,1084.09
228.95,1086.08
229.40,1088.35
229.85,1090.78
230.30,1093.22
230.75,1095.47
231.20,1097.34
231.66,1098.69
232.11,1099.40
232.56,1099.41
233.01,1098.76
233.46,1097.54
233.91,1095.89
234.36,1094.01
234.81,1092.08
235.26,1090.31
235.71,1088.85
236.17,1087.81
236.62,1087.25
237.07,1087.17
237.52,1087.52
237.97,1088.22
238.42,1089.17
238.87,1090.26
239.32,1091.38
239.77,1092.45
240.22,1093.38
240.67,1094.13
241.12,1094.65
241.57,1094.93
242.02,1094.95
242.47,1094.73
242.92,1094.26
243.37,1093.57
243.82,1092.67
244.27,1091.59
244.72,1090.36
245.18,1088.99
245.63,1087.54
246.08,1086.02
246.53,1084.49
246.98,1082.97
247.43,1081.50
247.88,1080.12
248.33,1078.85
248.78,1077.72
249.23,1076.74
249.68,1075.91
